,date,Daily PnL($),Cumulative PnL($),equity,Daily PnL(%),Cumulative PnL(%)
186,2012-07-06,26.20840336134452,-7.966386554622122,9992.033613445377,0.262982771710929,-0.07966386554617566
187,2012-07-07,0.0,-7.966386554622122,9992.033613445377,0.0,-0.07966386554617566
188,2012-07-08,0.0,-7.966386554622122,9992.033613445377,0.0,-0.07966386554617566
189,2012-07-09,26.20840336134452,18.242016806722397,10018.242016806722,0.26229298634543596,0.18242016806728767
190,2012-07-10,26.20840336134452,44.45042016806691,10044.450420168067,0.26160681003091213,0.4445042016807399
191,2012-07-11,26.20840336134452,70.65882352941144,10070.658823529411,0.2609242145167112,0.7065882352941699
192,2012-07-12,26.20840336134452,96.86722689075596,10096.867226890756,0.26024517184626283,0.9686722689076221
193,2012-07-13,26.20840336134452,123.07563025210048,10123.0756302521,0.2595696543532311,1.2307563025210744
194,2012-07-14,0.0,123.07563025210048,10123.0756302521,0.0,1.2307563025210744
195,2012-07-15,0.0,123.07563025210048,10123.0756302521,0.0,1.2307563025210744
196,2012-07-16,26.20840336134452,149.284033613445,10149.284033613445,0.25889763465780646,1.4928403361345044
197,2012-07-17,26.20840336134452,175.4924369747895,10175.49243697479,0.25822908566304204,1.7549243697479566
198,2012-07-18,26.20840336134452,201.70084033613404,10201.700840336134,0.25756398055105656,2.0170084033613866
199,2012-07-19,26.20840336134452,227.90924369747856,10227.909243697479,0.25690229277965937,2.279092436974839
200,2012-07-20,26.20840336134452,254.11764705882308,10254.117647058823,0.25624399607862003,2.541176470588291
201,2012-07-21,0.0,254.11764705882308,10254.117647058823,0.0,2.541176470588291
202,2012-07-22,0.0,254.11764705882308,10254.117647058823,0.0,2.541176470588291
203,2012-07-23,13.294117647058801,267.41176470588186,10267.411764705881,0.12964662689305406,2.6741176470588712
204,2012-07-24,13.294117647058801,280.70588235294065,10280.70588235294,0.12947876204554287,2.8070588235294736
205,2012-07-25,13.294117647058801,293.99999999999943,10294.0,0.1293113313345362,2.9400000000000537
206,2012-07-26,13.294117647058801,307.2941176470582,10307.294117647058,0.1291443330780906,3.072941176470634
207,2012-07-27,13.294117647058801,320.588235294117,10320.588235294117,0.12897776560290009,3.205882352941236
208,2012-07-28,0.0,320.588235294117,10320.588235294117,0.0,3.205882352941236
209,2012-07-29,0.0,320.588235294117,10320.588235294117,0.0,3.205882352941236
210,2012-07-30,13.294117647058801,333.8823529411758,10333.882352941177,0.12881162724422968,3.3388235294118163
211,2012-07-31,13.294117647058801,347.17647058823457,10347.176470588234,0.12864591634598188,3.471764705882374
212,2012-08-01,11.456279809220959,358.63275039745554,10358.632750397455,0.11071889845297722,3.5863275039745846
213,2012-08-02,11.456279809220959,370.0890302066765,10370.089030206676,0.11059644728481643,3.700890302066795
214,2012-08-03,11.456279809220959,381.5453100158975,10381.545310015897,0.11047426667072369,3.8154531001590053
215,2012-08-04,0.0,381.5453100158975,10381.545310015897,0.0,3.8154531001590053
216,2012-08-05,0.0,381.5453100158975,10381.545310015897,0.0,3.8154531001590053
217,2012-08-06,11.456279809220959,393.00158982511846,10393.001589825119,0.11035235571499324,3.9300158982512157
218,2012-08-07,11.456279809220959,404.45786963433943,10404.45786963434,0.11023071352589398,4.044578696343426
219,2012-08-08,11.456279809220959,415.9141494435604,10415.91414944356,0.11010933921560273,4.159141494435636
220,2012-08-09,11.456279809220959,427.3704292527814,10427.370429252782,0.10998823190024876,4.273704292527847
221,2012-08-10,11.456279809220959,438.82670906200235,10438.826709062003,0.10986739069978047,4.388267090620057
222,2012-08-11,0.0,438.82670906200235,10438.826709062003,0.0,4.388267090620057
223,2012-08-12,0.0,438.82670906200235,10438.826709062003,0.0,4.388267090620057
224,2012-08-13,11.456279809220959,450.2829888712233,10450.282988871224,0.10974681473805425,4.5028298887122675
225,2012-08-14,11.456279809220959,461.7392686804443,10461.739268680445,0.10962650314274569,4.617392686804478
226,2012-08-15,11.456279809220959,473.19554848966527,10473.195548489664,0.1095064550453495,4.731955484896666
227,2012-08-16,11.456279809220959,484.65182829888624,10484.651828298885,0.109386669581224,4.846518282988876
228,2012-08-17,11.456279809220959,496.1081081081072,10496.108108108107,0.10926714588939124,4.961081081081087
229,2012-08-18,0.0,496.1081081081072,10496.108108108107,0.0,4.961081081081087
230,2012-08-19,0.0,496.1081081081072,10496.108108108107,0.0,4.961081081081087
231,2012-08-20,-1.8378378378378,494.2702702702694,10494.27027027027,-0.017509707587870516,4.942702702702717
232,2012-08-21,-1.8378378378378,492.4324324324316,10492.432432432432,-0.01751277402340934,4.924324324324325
233,2012-08-22,-1.8378378378378,490.5945945945938,10490.594594594593,-0.01751584153315555,4.905945945945933
234,2012-08-23,-1.8378378378378,488.756756756756,10488.756756756757,-0.017518910117675368,4.887567567567563
235,2012-08-24,-1.8378378378378,486.91891891891817,10486.918918918918,-0.01752197977757941,4.869189189189171
236,2012-08-25,0.0,486.91891891891817,10486.918918918918,0.0,4.869189189189171
237,2012-08-26,0.0,486.91891891891817,10486.918918918918,0.0,4.869189189189171
238,2012-08-27,-1.8378378378378,485.08108108108036,10485.08108108108,-0.017525050513389484,4.8508108108107795
239,2012-08-28,-1.8378378378378,483.24324324324255,10483.243243243243,-0.0175281223256607,4.83243243243241
240,2012-08-29,-1.8378378378378,481.40540540540474,10481.405405405405,-0.017531195215014783,4.81405405405404
241,2012-08-30,-1.8378378378378,479.5675675675669,10479.567567567567,-0.01753426918198464,4.795675675675648
242,2012-08-31,-1.8378378378378,477.7297297297291,10477.72972972973,-0.01753734422710318,4.777297297297278
243,2012-09-01,0.0,477.7297297297291,10477.72972972973,0.0,4.777297297297278
244,2012-09-02,0.0,477.7297297297291,10477.72972972973,0.0,4.777297297297278
245,2012-09-03,0.0,477.7297297297291,10477.72972972973,0.0,4.777297297297278
246,2012-09-04,26.3974562798092,504.1271860095383,10504.127186009538,0.2519387019967567,5.041271860095375
247,2012-09-05,26.3974562798092,530.5246422893475,10530.524642289347,0.25130556601569154,5.305246422893473
248,2012-09-06,26.3974562798092,556.9220985691567,10556.922098569157,0.2506756042695235,5.56922098569157
249,2012-09-07,26.3974562798092,583.3195548489658,10583.319554848966,0.2500487929468109,5.833195548489645
250,2012-09-08,0.0,583.3195548489658,10583.319554848966,0.0,5.833195548489645
251,2012-09-09,0.0,583.3195548489658,10583.319554848966,0.0,5.833195548489645
252,2012-09-10,26.3974562798092,609.717011128775,10609.717011128774,0.24942510847376642,6.09717011128772
253,2012-09-11,26.3974562798092,636.1144674085841,10636.114467408584,0.24880452751117055,6.361144674085839
254,2012-09-12,26.3974562798092,662.5119236883933,10662.511923688393,0.24818702695139638,6.625119236883936
255,2012-09-13,26.3974562798092,688.9093799682024,10688.909379968203,0.2475725839158338,6.889093799682033
256,2012-09-14,26.3974562798092,715.3068362480116,10715.306836248012,0.2469611757517587,7.153068362480131
257,2012-09-15,0.0,715.3068362480116,10715.306836248012,0.0,7.153068362480131
258,2012-09-16,0.0,715.3068362480116,10715.306836248012,0.0,7.153068362480131
259,2012-09-17,26.3974562798092,741.7042925278207,10741.70429252782,0.24635278002969052,7.4170429252782055
260,2012-09-18,26.3974562798092,768.1017488076299,10768.10174880763,0.24574737454068352,7.681017488076325
261,2012-09-19,26.3974562798092,794.499205087439,10794.499205087439,0.24514493729344,7.9449920508744
262,2012-09-20,26.3974562798092,820.8966613672482,10820.896661367247,0.24454544651193455,8.208966613672475
263,2012-09-21,26.3974562798092,847.2941176470573,10847.294117647058,0.2439488806325496,8.472941176470572
264,2012-09-22,0.0,847.2941176470573,10847.294117647058,0.0,8.472941176470572
265,2012-09-23,0.0,847.2941176470573,10847.294117647058,0.0,8.472941176470572
266,2012-09-24,28.23529411764704,875.5294117647044,10875.529411764704,0.2602980412572453,8.75529411764704
267,2012-09-25,28.23529411764704,903.7647058823514,10903.764705882351,0.2596222496267897,9.037647058823506
268,2012-09-26,28.23529411764704,931.9999999999985,10931.999999999998,0.25894995792064,9.319999999999995
